,order_id,quantity_ordered,order_date,order_status,product_id,total_order_amount,customer_id
0,818,8,2023-03-03,Shipped,446,21.62,227
1,458,3,2023-05-10,Shipped,628,19.67,320
2,633,2,2023-11-13,Processing,925,142.63,637
3,253,9,2023-05-03,Delivered,150,274.7,854
4,504,7,2023-06-29,Processing,157,824.39,448
5,611,3,2023-09-02,Delivered,873,365.79,280
6,216,6,2023-08-19,Delivered,689,42.01,693
7,797,3,2023-12-02,Shipped,336,390.38,455
8,967,2,2023-10-22,Shipped,161,892.39,389
9,444,2,2023-10-23,Processing,278,935.81,246
10,692,8,2023-12-06,Delivered,21,606.84,702
11,972,3,2023-11-30,Shipped,7,933.28,539
12,360,1,2023-04-27,Processing,519,250.43,456
13,998,0,2023-03-29,Shipped,665,844.92,827
14,252,3,2023-10-14,Processing,604,508.96,831
15,24,7,2023-05-10,Delivered,281,962.54,545
16,818,9,2023-07-27,Processing,604,956.09,217
17,828,4,2023-03-26,Shipped,162,989.92,760
18,699,5,2023-01-20,Delivered,199,533.47,474
19,704,3,2023-08-27,Processing,785,377.78,407
20,225,1,2023-11-08,Shipped,923,710.17,933
21,435,2,2023-03-10,Processing,47,487.2,157
22,348,8,2022-12-17,Processing,129,585.45,812
23,523,4,2023-09-29,Processing,57,30.38,248
24,579,1,2022-12-30,Delivered,366,442.14,805
25,691,2,2023-06-27,Shipped,193,315.22,498
26,590,2,2023-08-28,Shipped,127,158.05,628
27,616,0,2023-09-26,Shipped,525,313.53,383
28,462,6,2023-01-17,Shipped,874,331.39,639
29,655,4,2023-11-11,Delivered,481,965.79,251
30,873,8,2023-02-17,Delivered,358,941.69,865
31,78,2,2023-08-28,Shipped,8,631.19,366
32,255,0,2023-04-01,Shipped,858,451.29,876
33,22,3,2023-05-21,Shipped,263,353.91,164
34,772,6,2023-10-28,Shipped,838,416.92,416
35,711,1,2023-03-10,Processing,516,901.33,922
36,806,3,2023-03-06,Processing,917,494.09,14
37,715,9,2022-12-07,Processing,586,306.18,826
38,784,1,2023-08-14,Delivered,342,855.44,933
39,386,7,2023-05-28,Shipped,630,911.29,687
40,124,4,2023-11-23,Processing,734,342.34,92
41,142,0,2023-08-04,Processing,925,351.33,129
42,876,6,2022-12-14,Processing,995,15.66,945
43,547,8,2023-02-22,Processing,847,553.3,285
44,431,6,2023-08-26,Shipped,261,768.83,488
45,562,1,2023-09-06,Delivered,384,647.17,666
46,647,4,2023-03-20,Delivered,406,527.66,275
47,639,8,2023-02-26,Processing,652,956.38,830
48,978,1,2023-04-07,Processing,654,629.4,385
49,151,7,2023-11-23,Processing,806,415.12,47
50,320,5,2023-02-23,Processing,493,646.81,352
51,354,0,2023-02-27,Delivered,719,234.63,186
52,428,0,2023-05-15,Shipped,594,63.19,816
53,537,8,2023-07-22,Delivered,223,930.45,580
54,879,8,2023-08-23,Delivered,526,337.3,988
55,118,8,2023-07-09,Shipped,701,459.16,946
56,240,2,2022-12-09,Delivered,988,321.0,655
57,68,8,2023-09-16,Delivered,701,4.04,219
58,414,5,2023-09-22,Processing,533,475.24,413
59,254,3,2023-06-29,Processing,53,407.39,284
60,195,9,2023-05-24,Processing,385,709.17,90
61,158,6,2023-03-03,Delivered,998,600.36,934
62,438,1,2023-02-19,Delivered,243,984.93,375
63,57,4,2022-12-29,Processing,109,999.06,350
64,761,3,2023-08-19,Shipped,849,956.55,9
65,979,0,2023-10-23,Processing,119,40.31,18
66,545,1,2023-04-06,Delivered,721,601.58,436
67,772,0,2023-02-27,Delivered,230,13.09,363
68,456,8,2023-09-06,Delivered,876,253.27,705
